case_key,case_name_abbreviation,dissent_ind,majority_word_count,dissent_word_count,officialcitation,issuearea,majvotes,minvotes,kldiv_score,d2v_cosdist_score,sbert_cosdist_score,legalbert_cosdist_score,year,voyage3_cosdist,voyagelaw_cosdist,z_kldiv,z_d2v,z_voyage3,composite_div
a555,Nishikawa v. Dulles,1,2721,1481,356 U.S. 129,2,7,2,1.8262489,.15823865,.059316639,.0078212619,1958,.15032631,.13521534,.12814394,-.89944828,-1.1943449,-.6552164
a5553,"Citibank, N. A. v. Wells Fargo Asia Ltd.",1,3862,157,495 U.S. 660,9,8,1,1.1857325,.36242959,.3260316,.028566539,1990,.46766251,.37238985,-.35238749,.65558267,1.2545574,.51925087
a5554,Duro v. Reina,1,6433,4198,495 U.S. 676,2,7,2,.88549018,.14446867,.028747739,.0055510998,1990,.18363428,.11390227,-.57763678,-1.0043145,-.93730527,-.8397522
a5555,United States v. Montalvo-Murillo,1,3279,2742,495 U.S. 711,1,6,3,2.424135,.19838977,.069096103,.0075886846,1990,.28937703,.21155167,.57669306,-.59367448,-.12128223,-.046087887
a5556,Demosthenes v. Baal,1,1856,1250,495 U.S. 731,9,5,4,1.449137,.2363151,.053769901,.011043429,1990,.24865896,.18474144,-.15477484,-.30485138,-.43550605,-.29837742
a556,Brown v. United States,1,2888,1096,356 U.S. 148,1,5,4,4.1362691,.33715391,.10704166,.012142003,1958,.37362969,.28406602,1.8611789,.46309391,.5289005,.95105779
a556,Brown v. United States,2,2888,1060,356 U.S. 148,1,5,4,4.3950272,.33984491,.11109024,.0089117289,1958,.32347095,.2481038,2.0553057,.48358741,.14182253,.89357191
a557,Green v. United States,1,7636,8351,356 U.S. 165,1,5,4,1.9509187,.32079291,.067073099,.011153162,1958,.36135799,.2590059,.22167434,.33849552,.43419904,.3314563
a557,Green v. United States,2,7636,1844,356 U.S. 165,1,5,4,2.2340982,.21219707,.1097928,.0081914067,1958,.30384386,.21895701,.43412271,-.48852402,-.0096409135,-.021347407
a558,United States v. F. & M. Schaefer Brewing Co.,1,2609,4821,356 U.S. 227,9,7,2,.93988603,.2421173,.053260561,.0077670813,1958,.17740244,.17673254,-.53682762,-.26066431,-.9853968,-.59429622
a558,United States v. F. & M. Schaefer Brewing Co.,2,2609,278,356 U.S. 227,9,7,2,2.8190634,.5140723,.18906146,.030101597,1958,.36374122,.41654223,.87297827,1.8104287,.45259058,1.0453326
a5580,Peel v. Attorney Registration & Disciplinary Commission of Illinois,1,6060,462,496 U.S. 91,6,5,4,1.5534312,.47197029,.20697831,.025715947,1990,.36907083,.28970122,-.07653074,1.4897978,.49371949,.6356622
a5580,Peel v. Attorney Registration & Disciplinary Commission of Illinois,2,6060,2567,496 U.S. 91,6,5,4,1.4091213,.1303338,.031213161,.0052052736,1990,.21059334,.10481107,-.18479562,-1.1119597,-.72926062,-.67533863
a5581,Horton v. California,1,4291,3264,496 U.S. 128,1,7,2,.5594427,.18986326,.081816003,.013209343,1990,.20312262,.22506642,-.82224572,-.65860868,-.78691268,-.75592238
a5582,American Trucking Associations v. Smith,1,9842,6982,496 U.S. 167,8,5,4,.52856714,.1026549,.023581401,.0029488802,1990,.1157043,.076535344,-.84540933,-1.3227503,-1.461525,-1.2098949
a5583,Board of Education v. Mergens ex rel. Mergens,1,8714,7881,496 U.S. 226,3,8,1,.581779,.19725966,.058318142,.0086362958,1990,.16806602,.11611897,-.80548847,-.60228086,-1.0574465,-.8217386
a5584,Illinois v. Perkins,1,2097,1992,496 U.S. 292,1,8,1,.37546152,.2188258,.063285232,.0064914227,1990,.23183542,.19718921,-.96027303,-.4380424,-.5653342,-.6545499
a5585,United States v. Eichman,1,2379,1635,496 U.S. 310,3,5,4,1.8526491,.23874676,.13019156,.02214098,1990,.31409109,.24074775,.14795004,-.28633288,.069437571,-.022981755
a5586,Alabama v. White,1,2062,324,496 U.S. 325,1,6,3,1.3523275,.26886845,.15070909,.026831985,1990,.4781453,.31093121,-.22740376,-.05693901,1.3354536,.35037029
a5588,Office of Personnel Management v. Richmond,1,6122,2101,496 U.S. 414,8,7,2,1.6080731,.29543701,.045653459,.0063214302,1990,.20249975,.15395784,-.035536978,.1453958,-.79171938,-.22728685
a5589,Michigan Department of State Police v. Sitz,1,2746,1201,496 U.S. 444,1,6,3,.76286012,.27599481,.10454106,.014964402,1990,.28985691,.20836961,-.66963691,-.0026676909,-.117579,-.26329452
a5589,Michigan Department of State Police v. Sitz,2,2746,6214,496 U.S. 444,1,6,3,.3759954,.17958045,.03823996,.0068852305,1990,.22886896,.16349947,-.95987248,-.73691821,-.58822662,-.76167244
a559,Grimes v. Raymond Concrete Pile Co.,1,412,669,356 U.S. 252,8,6,3,2.7020748,.33052731,.28668797,.048775196,1958,.34581822,.26082665,.78521043,.4126285,.31427774,.50403887
a5590,Sullivan v. Stroop,1,2000,3443,496 U.S. 478,2,5,4,.26269686,.20532894,.041887298,.0074641705,1990,.24582493,.17779857,-1.0448719,-.5408287,-.45737636,-.68102568
a5590,Sullivan v. Stroop,2,2000,261,496 U.S. 478,2,5,4,.29093328,.31448364,.1344694,.029268265,1990,.35773438,.26599663,-1.0236882,.29044682,.40623546,-.10900197
a5591,Wilder v. Virginia Hospital Ass'n,1,8089,1575,496 U.S. 498,9,5,4,1.3191221,.21729195,.063695252,.010139704,1990,.21665764,.17427301,-.25231528,-.44972354,-.6824621,-.46150032
a5595,Pension Benefit Guaranty Corp. v. LTV Corp.,1,6618,862,496 U.S. 633,8,8,1,2.3582563,.19699293,.089994803,.017440617,1990,.30021894,.20457178,.52726924,-.60431218,-.037614606,-.03821918
a5596,"Lilly v. Medtronic, Inc.",1,5343,1254,496 U.S. 661,8,6,2,1.6046252,.37902451,.095122099,.0084165335,1990,.27139568,.1697982,-.038123671,.78196245,-.26004538,.16126446
a56,Whole Woman's Health v. Hellerstedt,1,11715,19828,136 S. Ct. 2292,5,5,3,.77511078,.1618509,.026438201,.0037908554,2016,.15254045,.00051981211,-.66044617,-.87193888,-1.1772583,-.90321445
a560,Butler v. Whiteman,1,222,356,356 U.S. 271,8,6,3,4.0597887,.2634353,.19813401,.056225181,1958,.39972299,.3986522,1.8038014,-.0983155,.73026407,.81191665
a5605,Milkovich v. Lorain Journal Co.,1,7234,5067,497 U.S. 1,3,7,2,1.0662386,.14251401,.049794301,.0052170753,1990,.23956567,.12784135,-.44203475,-1.0192004,-.50567949,-.65563822
a5607,Rutan v. Republican Party of Illinois,1,5006,7989,497 U.S. 62,3,5,4,1.5388546,.27469313,.0664334,.0089656115,1990,.34992135,.1843493,-.087466441,-.012580699,.34594178,.08196488
a5608,"Maislin Industries, U. S., Inc. v. Primary Steel, Inc.",1,6235,5284,497 U.S. 116,9,7,2,1.0439223,.15474683,.034624599,.0046268106,1990,.17929697,.11290622,-.45877701,-.92604047,-.97077656,-.78519803
a561,Fidelity-Philadelphia Trust Co. v. Smith,1,2050,138,356 U.S. 274,12,6,3,1.3840175,.37953949,.17084029,.038578272,1958,.38091671,.41120595,-.20362912,.78588432,.58513486,.38913003
a5610,Illinois v. Rodriguez,1,3416,3249,497 U.S. 177,1,6,3,1.1991861,.131905,.033852641,.0042735934,1990,.25071245,.1700294,-.34229425,-1.0999941,-.41965908,-.6206491
a5611,Kansas v. Utilicorp United Inc.,1,5153,2228,497 U.S. 199,8,5,4,.89081132,.16711441,.044681799,.0054314137,1990,.16272414,.12990135,-.5736447,-.83185428,-1.0986701,-.83472306
a5612,Sawyer v. Smith,1,5415,4848,497 U.S. 227,1,5,4,.70159566,.1194017,.039572362,.0061012506,1990,.13885802,.11638153,-.71559906,-1.1952138,-1.2828463,-1.064553
a5613,"Cruzan ex rel. Cruzan v. Director, Missouri Department of Health",1,7777,10575,497 U.S. 261,5,5,4,.34936371,.12322414,.0259578,.0044360757,1990,.13278413,.75620264,-.97985226,-1.1661038,-1.3297189,-1.1585584
a5613,"Cruzan ex rel. Cruzan v. Director, Missouri Department of Health",2,7777,9665,497 U.S. 261,5,5,4,1.0628556,.1646253,.057543401,.0060559511,1990,.19286627,.11839366,-.44457281,-.85081023,-.86606151,-.72048151
a5615,Georgia v. South Carolina,1,10483,636,497 U.S. 376,11,9,0,.09076754,.21282303,.080924198,.013657928,1990,.31975764,.26958448,-1.1738576,-.48375693,.1131667,-.51481593
a5615,Georgia v. South Carolina,2,10483,264,497 U.S. 376,11,9,0,.27132097,.34674156,.20270884,.029727876,1990,.37046915,.36991763,-1.0384018,.53610933,.50451046,.00073931616
a5615,Georgia v. South Carolina,3,10483,84,497 U.S. 376,11,9,0,.63376021,.41487309,.45268995,.075236917,1990,.45575738,.45711398,-.76649088,1.05497,1.1626847,.48372129
a5615,Georgia v. South Carolina,4,10483,1087,497 U.S. 376,11,9,0,.10679006,.1610395,.059475999,.008171618,1990,.27392912,.21989071,-1.1618371,-.87811816,-.2404947,-.76014996
a5616,Hodgson v. Minnesota,1,12758,882,497 U.S. 417,5,6,3,1.9486244,.22265106,.074382499,.011771679,1990,.26555735,.85873628,.21995309,-.40891084,-.30510014,-.16468596
a5617,Ohio v. Akron Center for Reproductive Health,1,4579,6003,497 U.S. 502,5,6,3,1.0478555,.15368091,.029500499,.0073099732,1990,.16923845,.12729037,-.45582625,-.93415809,-1.0483987,-.81279433
a5618,Alvarado v. United States,1,550,327,497 U.S. 543,1,5,4,1.1728468,.41523719,.1690007,.022544503,1990,.34489614,.38108891,-.36205465,1.0577427,.30716196,.33428335
a5619,"Metro Broadcasting, Inc. v. Federal Communications Commission",1,17123,9123,497 U.S. 547,2,5,4,.70311159,.1726357,.090310097,.012221992,1990,.27954489,.89695418,-.71446174,-.78980643,-.19715747,-.56714189
a5619,"Metro Broadcasting, Inc. v. Federal Communications Commission",2,17123,2213,497 U.S. 547,2,5,4,1.7223259,.30828249,.15070546,.018578291,1990,.40565258,.8787722,.050178334,.24322154,.77602303,.35647431
a562,Denver Union Stock Yard Co. v. Producers Livestock Marketing Ass'n,1,2092,278,356 U.S. 282,8,6,3,2.0622029,.2116387,.1150689,.017768025,1958,.36788034,.26848799,.30516258,-.49277627,.48453245,.098972917
a562,Denver Union Stock Yard Co. v. Producers Livestock Marketing Ass'n,2,2092,4873,356 U.S. 282,8,6,3,1.033572,.1167262,.05025804,.0093213916,1958,.17589813,.11574024,-.46654212,-1.2155893,-.99700558,-.89304566
